City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
220,Savannah Bight,HN,16.45,-85.85,81.05,85,100,26.4,moderate rain
221,Businga,CD,3.33,20.88,70.7,95,100,1.52,overcast clouds
222,Ripiceni,RO,47.95,27.13,37.4,93,100,4.7,mist
223,Genhe,CN,50.78,121.52,19.09,90,8,4.0,clear sky
224,Varniai,LT,55.74,22.36,46.99,100,0,9.17,clear sky
225,Vila Velha,BR,-20.33,-40.29,75.0,83,90,6.93,overcast clouds
226,Saskylakh,RU,71.92,114.08,-8.91,90,91,4.65,overcast clouds
227,El Retorno,CO,2.33,-72.63,72.7,95,100,2.95,light rain
228,Bolitoc,PH,15.74,119.88,84.58,67,100,1.12,overcast clouds
229,Port Macquarie,AU,-31.43,152.92,75.99,73,40,17.22,scattered clouds
230,Ambon,ID,-3.7,128.18,83.91,72,24,9.69,few clouds
231,Taoudenni,ML,22.68,-3.98,74.34,19,0,5.93,clear sky
232,Warkworth,NZ,-36.4,174.67,64.99,99,100,7.0,light rain
233,Dingle,PH,11.0,122.67,78.78,87,100,3.74,moderate rain
234,Moose Factory,CA,51.26,-80.61,33.8,96,90,5.82,overcast clouds
235,Mayo,US,38.89,-76.51,57.99,82,1,6.93,clear sky
236,Okha,RU,53.57,142.95,27.84,95,100,25.64,light snow
237,Srivardhan,IN,18.03,73.02,75.79,59,0,4.54,clear sky
238,Loreto,MX,22.27,-101.97,53.82,41,51,13.71,broken clouds
239,Visby,SE,57.64,18.3,48.2,81,9,18.34,clear sky
240,Bintulu,MY,3.17,113.03,78.8,88,20,3.36,few clouds
241,Cockburn Town,TC,21.46,-71.14,81.79,77,96,23.11,overcast clouds
242,Huarmey,PE,-10.07,-78.15,63.09,83,40,9.37,scattered clouds
243,Kemijarvi,FI,66.71,27.43,38.16,83,100,13.33,overcast clouds
244,Champerico,GT,14.3,-91.92,72.0,96,100,8.66,overcast clouds
245,Helong,CN,42.54,129.0,51.12,46,0,12.3,clear sky
246,Kapit,MY,2.02,112.93,76.19,91,99,1.57,overcast clouds
247,Clyde River,CA,70.47,-68.59,-0.4,64,1,19.46,clear sky
248,Arraial Do Cabo,BR,-22.97,-42.03,69.62,84,0,9.66,clear sky
249,Trelew,AR,-43.25,-65.31,65.71,25,5,22.91,clear sky
250,Inhambane,MZ,-23.86,35.38,73.02,89,100,5.79,overcast clouds
251,Dikson,RU,73.51,80.55,1.85,91,0,5.79,clear sky
252,Were Ilu,ET,10.6,39.43,46.42,56,0,5.03,clear sky
253,Letterkenny,IE,54.95,-7.73,48.81,91,91,7.52,overcast clouds
254,Bredasdorp,ZA,-34.53,20.04,66.2,88,100,11.41,moderate rain
255,Katsuura,JP,35.13,140.3,64.99,41,20,5.82,few clouds
256,Bela,IN,25.93,81.98,66.85,37,0,4.07,clear sky
257,Balkhash,KZ,46.84,74.98,31.44,85,76,6.22,broken clouds
258,Cap-Aux-Meules,CA,47.38,-61.86,32.0,70,0,6.93,clear sky
259,Dongsheng,CN,39.82,109.98,44.94,51,0,10.38,clear sky
260,Bilibino,RU,68.05,166.44,9.95,92,100,6.82,light snow
261,Carbonia,IT,39.17,8.52,57.99,87,20,3.36,few clouds
262,Bambous Virieux,MU,-20.34,57.76,70.0,88,75,2.24,light intensity shower rain
263,San Carlos De Bariloche,AR,-41.15,-71.31,41.0,75,40,18.34,scattered clouds
264,Yumen,CN,40.28,97.2,36.84,64,39,22.97,scattered clouds
265,Kamyshla,RU,54.12,52.14,36.95,80,38,1.14,scattered clouds
266,Potchefstroom,ZA,-26.72,27.1,61.72,85,100,5.39,light rain
267,Uthal,PK,25.81,66.62,65.61,70,0,1.88,clear sky
268,Mao,ES,39.89,4.27,62.6,82,22,5.82,few clouds
269,San Luis,AR,-33.3,-66.34,70.54,32,90,11.52,overcast clouds
270,Sisimiut,GL,66.94,-53.67,23.83,92,99,13.56,overcast clouds
271,Gorontalo,ID,0.54,123.06,89.33,58,4,3.62,clear sky
272,Coahuayana,MX,18.73,-103.68,77.0,65,5,11.41,clear sky
273,Hit,IQ,33.64,42.83,66.78,49,23,9.1,few clouds
274,Luorong,CN,24.41,109.61,69.98,56,54,5.28,broken clouds
275,Lagoa,PT,39.05,-27.98,61.16,71,100,19.93,overcast clouds
276,Viedma,AR,-40.81,-63.0,61.93,89,100,6.24,overcast clouds
277,Cape Coast,GH,5.11,-1.25,78.91,86,34,5.39,scattered clouds
278,Denpasar,ID,-8.65,115.22,85.3,73,50,7.92,scattered clouds
279,Talnakh,RU,69.49,88.4,-2.2,84,0,8.95,clear sky
280,Dunedin,NZ,-45.87,170.5,57.99,75,98,13.0,overcast clouds
281,Douentza,ML,15.0,-2.95,80.01,27,65,3.78,broken clouds
282,Quatre Cocos,MU,-20.21,57.76,70.0,88,75,2.24,light intensity shower rain
283,Henties Bay,NA,-22.12,14.28,57.0,91,4,1.01,clear sky
284,Khatanga,RU,71.97,102.5,-7.28,90,0,7.43,clear sky
285,Meulaboh,ID,4.14,96.13,80.73,77,69,2.71,broken clouds
286,San Borja,BO,-14.82,-66.85,80.78,40,89,2.82,overcast clouds
287,Aklavik,CA,68.22,-135.01,5.0,77,60,3.36,broken clouds
288,Soyo,AO,-6.13,12.37,77.72,82,100,4.36,overcast clouds
289,Te Anau,NZ,-45.42,167.72,59.38,89,100,2.75,light rain
290,Chernyshevskiy,RU,63.01,112.47,9.91,97,74,1.9,broken clouds
291,Karoi,ZW,-16.81,29.69,67.44,73,98,5.08,overcast clouds
292,Boyolangu,ID,-8.12,111.89,84.65,70,81,5.55,broken clouds
293,Mutoko,ZW,-17.4,32.23,67.44,76,7,7.52,clear sky
294,Kudahuvadhoo,MV,2.67,72.89,82.08,73,17,0.81,few clouds
295,Husavik,IS,66.04,-17.34,46.4,45,0,29.97,clear sky
296,Hurghada,EG,27.26,33.81,69.8,37,0,10.29,clear sky
297,Buchach,UA,49.06,25.39,41.0,87,100,3.8,overcast clouds
298,Mitzic,GA,0.78,11.55,68.02,100,88,2.55,light rain
299,Padang,ID,-0.95,100.35,83.35,62,97,0.69,overcast clouds
300,Polson,US,47.69,-114.16,55.99,61,100,6.93,overcast clouds
301,North Platte,US,41.12,-100.77,51.8,43,1,6.93,clear sky
302,Coos Bay,US,43.37,-124.22,62.01,87,75,10.29,broken clouds
303,Nyurba,RU,63.28,118.33,7.18,94,98,2.42,overcast clouds
304,Rocha,UY,-34.48,-54.33,50.2,92,0,5.57,clear sky
305,Cabedelo,BR,-6.98,-34.83,78.8,83,75,6.93,broken clouds
306,Pacific Grove,US,36.62,-121.92,62.6,77,1,4.7,clear sky
307,Saint George,US,37.1,-113.58,73.4,23,1,3.36,clear sky
308,Mehamn,NO,71.04,27.85,36.09,82,0,14.72,clear sky
309,Motygino,RU,58.18,94.76,26.69,98,100,11.63,light snow
310,Plettenberg Bay,ZA,-34.05,23.37,64.4,88,100,8.14,overcast clouds
311,Inirida,CO,3.87,-67.92,71.92,98,97,2.39,light rain
312,Tukrah,LY,32.53,20.58,68.31,64,80,7.2,broken clouds
313,Saint Anthony,US,45.02,-93.22,64.4,54,1,4.7,clear sky
314,West Wendover,US,40.74,-114.07,57.2,30,1,3.91,clear sky
315,Half Moon Bay,US,37.46,-122.43,66.99,93,1,10.29,clear sky
316,Barcelos,PT,41.54,-8.62,55.4,62,0,17.22,clear sky
317,High Level,CA,58.52,-117.14,12.2,92,75,5.82,broken clouds
318,Cabo San Lucas,MX,22.89,-109.91,80.6,78,20,3.36,few clouds
319,Berlevag,NO,70.86,29.09,35.58,85,0,24.14,clear sky
320,Kavali,IN,14.92,79.98,77.9,70,0,9.64,clear sky
321,Ketchikan,US,55.34,-131.65,44.6,87,90,9.17,moderate rain
322,Nalut,LY,30.33,10.85,61.83,43,0,8.57,clear sky
323,Gamboma,CG,-1.88,15.86,72.1,91,100,4.05,overcast clouds
324,Borogontsy,RU,62.67,131.17,2.35,92,100,4.27,overcast clouds
325,Deloraine,AU,-41.53,146.67,64.0,47,1,5.01,clear sky
326,Yarovoye,RU,52.93,78.58,33.33,88,86,18.52,overcast clouds
327,Salekhard,RU,66.53,66.6,34.88,94,100,14.74,overcast clouds
328,Xining,CN,36.62,101.77,38.66,73,100,2.64,overcast clouds
329,Luena,AO,-11.78,19.92,60.22,93,95,2.86,overcast clouds
330,Fukue,JP,32.69,128.84,62.6,55,0,11.41,clear sky
331,Kulhudhuffushi,MV,6.62,73.07,81.79,65,0,1.21,clear sky
332,Buala,SB,-8.14,159.59,86.77,67,100,4.32,light rain
333,Namibe,AO,-15.2,12.15,66.6,73,0,7.2,clear sky
334,Geraldton,AU,-28.77,114.6,87.8,25,0,14.99,clear sky
335,Cabra,ES,37.47,-4.44,57.2,100,100,6.93,overcast clouds
336,Luderitz,NA,-26.65,15.16,60.13,88,10,4.36,clear sky
337,Mahanoro,MG,-19.9,48.8,71.38,86,69,5.7,broken clouds
338,Arinos,BR,-15.92,-46.11,69.85,86,100,1.77,moderate rain
339,Zyryanka,RU,65.75,150.85,-3.86,91,100,24.92,snow
340,Filadelfia,US,39.95,-75.16,55.99,66,1,8.05,clear sky
341,Belyy Yar,RU,53.6,91.39,33.8,59,0,24.61,clear sky
342,Nhamunda,BR,-2.19,-56.71,77.04,84,93,1.77,overcast clouds
343,Mazatlan,MX,23.22,-106.42,80.01,78,5,4.7,clear sky
344,Durban,ZA,-29.86,31.03,72.0,88,75,2.24,light rain
345,Erenhot,CN,43.65,111.98,43.29,50,0,17.45,clear sky
346,Payson,US,40.04,-111.73,57.99,50,1,1.41,clear sky
347,Komsomolskiy,UZ,40.43,71.72,35.6,47,0,6.93,clear sky
348,Constitucion,CL,-35.33,-72.42,49.84,74,0,14.7,clear sky
349,Fayaoue,NC,-20.65,166.53,77.25,71,0,2.59,clear sky
350,Moron,AR,-34.65,-58.62,69.01,53,100,5.99,light rain
351,Aquin,HT,18.28,-73.4,78.94,77,99,5.1,overcast clouds
352,Blackwater,AU,-23.58,148.88,92.64,27,0,12.12,clear sky
353,Huanuni,BO,-18.27,-66.85,44.94,57,0,9.57,clear sky
354,Parauna,BR,-16.95,-50.45,72.01,43,0,2.59,clear sky
355,Barao De Melgaco,BR,-16.19,-55.97,84.2,37,0,2.24,clear sky
